GameID	AgentName	Player	Round	TotalRounds	FinalScore	Win	CELLAR	MARKET	MILITIA	MINE	MOAT	REMODEL	SMITHY	VILLAGE	WOODCUTTER	WORKSHOP	CURSE	GOLD	SILVER	COPPER	ESTATE	DUCHY	PROVINCE
0	Silvermink	0	0	17	33	1.0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	3	0	0
0	Draggor	1	0	16	21	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0
0	Silvermink	0	1	17	33	1.0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	3	0	0
0	Draggor	1	1	16	21	0	1	1	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0
0	Silvermink	0	2	17	33	1.0	1	0	0	2	0	0	0	0	0	0	0	0	1	6	3	0	0
0	Draggor	1	2	16	21	0	2	1	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0
0	Silvermink	0	3	17	33	1.0	1	0	0	2	0	0	0	0	0	0	0	0	2	6	3	0	0
0	Draggor	1	3	16	21	0	2	1	0	0	0	0	1	0	0	0	0	0	0	7	3	0	0
0	Silvermink	0	4	17	33	1.0	1	0	0	2	0	0	0	0	0	0	0	2	1	6	3	0	0
0	Draggor	1	4	16	21	0	2	1	0	1	0	0	1	0	0	0	0	0	0	7	3	0	0
0	Silvermink	0	5	17	33	1.0	1	0	0	3	0	0	0	0	0	0	0	2	1	6	3	0	0
0	Draggor	1	5	16	21	0	2	1	0	1	0	0	1	1	0	0	0	0	0	7	3	0	0
0	Silvermink	0	6	17	33	1.0	1	0	0	3	0	0	1	0	0	0	0	3	0	6	3	0	0
0	Draggor	1	6	16	21	0	2	1	0	1	0	0	1	2	0	0	0	0	1	6	3	0	0
0	Silvermink	0	7	17	33	1.0	1	0	0	3	0	0	1	0	0	0	0	4	1	5	3	0	0
0	Draggor	1	7	16	21	0	2	1	0	1	0	0	1	3	0	0	0	0	1	6	3	0	0
0	Silvermink	0	8	17	33	1.0	1	0	0	3	0	0	1	0	0	0	0	5	1	5	3	0	0
0	Draggor	1	8	16	21	0	2	1	0	2	0	0	1	3	0	0	0	0	2	5	3	0	0
0	Silvermink	0	9	17	33	1.0	1	1	0	3	0	0	1	0	0	0	0	5	2	4	3	0	0
0	Draggor	1	9	16	21	0	2	1	0	2	0	0	2	3	0	0	0	0	3	4	3	0	0
0	Silvermink	0	10	17	33	1.0	1	1	0	3	0	0	1	0	0	0	0	6	1	4	3	0	1
0	Draggor	1	10	16	21	0	2	1	0	2	0	0	2	3	0	0	0	1	4	3	3	0	0
0	Silvermink	0	11	17	33	1.0	1	1	0	3	0	0	1	1	0	0	0	6	2	3	3	0	1
0	Draggor	1	11	16	21	0	2	1	0	2	0	0	2	4	0	0	0	1	5	2	3	0	0
0	Silvermink	0	12	17	33	1.0	1	2	0	3	0	0	1	1	0	0	0	6	3	2	3	0	1
0	Draggor	1	12	16	21	0	3	1	0	2	0	0	2	4	0	0	0	1	6	1	3	0	1
0	Silvermink	0	13	17	33	1.0	1	2	0	3	0	0	1	1	0	0	0	7	2	2	3	0	2
0	Draggor	1	13	16	21	0	3	1	0	2	0	0	2	4	0	0	0	1	7	0	3	0	2
0	Silvermink	0	14	17	33	1.0	1	2	0	3	0	0	1	1	0	0	0	7	2	2	3	0	3
0	Draggor	1	14	16	21	0	3	2	0	2	0	0	2	4	0	0	0	1	7	0	3	0	2
0	Silvermink	0	15	17	33	1.0	1	2	0	3	0	0	1	1	0	0	0	8	1	2	3	0	4
0	Draggor	1	15	16	21	0	3	2	0	2	0	0	2	4	0	0	0	2	6	0	3	0	3
0	Silvermink	0	16	17	33	1.0	1	2	0	3	0	0	1	1	0	0	0	8	1	2	3	0	5
0	Draggor	1	16	16	21	0	3	2	0	2	0	0	2	4	0	0	0	2	6	0	3	0	3
1	CatDog	0	0	23	39	1.0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	3	0	0
1	TheMule	1	0	24	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	3	0	0
1	CatDog	0	1	23	39	1.0	0	0	0	0	0	0	0	1	0	1	0	0	0	7	3	0	0
1	TheMule	1	1	24	27	0	0	0	0	0	1	0	0	0	0	0	0	0	1	7	3	0	0
1	CatDog	0	2	23	39	1.0	0	0	1	0	0	0	1	1	0	1	0	0	0	7	3	0	0
1	TheMule	1	2	24	27	0	0	0	0	0	1	0	1	0	0	0	0	0	1	7	3	0	0
1	CatDog	0	3	23	39	1.0	1	0	1	0	0	0	1	1	0	1	0	0	0	7	3	0	0
1	TheMule	1	3	24	27	0	0	0	0	0	1	0	1	0	0	0	0	0	2	7	3	0	0
1	CatDog	0	4	23	39	1.0	1	1	1	0	0	0	1	1	0	1	0	0	0	7	3	0	0
1	TheMule	1	4	24	27	0	0	0	0	0	1	0	1	0	0	0	0	0	3	7	3	0	0
1	CatDog	0	5	23	39	1.0	1	1	1	0	0	0	1	1	0	1	0	1	0	8	3	0	0
1	TheMule	1	5	24	27	0	0	0	0	0	1	0	1	1	0	0	0	0	3	7	3	0	0
1	CatDog	0	6	23	39	1.0	1	1	1	0	1	0	1	1	0	1	0	1	0	8	3	0	0
1	TheMule	1	6	24	27	0	0	0	0	0	1	0	1	2	0	0	0	0	3	7	3	0	0
1	CatDog	0	7	23	39	1.0	1	1	1	0	1	0	1	2	0	1	0	1	1	8	3	0	0
1	TheMule	1	7	24	27	0	0	0	0	0	1	0	1	2	1	0	0	0	3	7	3	0	0
1	CatDog	0	8	23	39	1.0	1	1	1	0	1	0	2	2	0	1	0	1	1	8	3	0	0
1	TheMule	1	8	24	27	0	0	0	0	0	1	0	1	2	1	0	0	1	3	7	3	0	0
1	CatDog	0	9	23	39	1.0	2	1	1	1	1	0	2	2	0	1	0	1	1	8	3	0	0
